YEAR   GISS          HADCRUT3      NOAA
1880   -0.264351     -0.133592     -0.150532
1881   -0.189351     -0.119425     -0.0732818
1882   -0.243518     -0.123258     -0.12619
1883   -0.256018     -0.174425     -0.163748
1884   -0.300184     -0.260175     -0.245548
1885   -0.299351     -0.238092     -0.202632
1886   -0.271018     -0.150592     -0.169107
1887   -0.339351     -0.262342     -0.249332
1888   -0.252684     -0.212425     -0.159465
1889   -0.154351     -0.0683416    -0.111215
1890   -0.374351     -0.307675     -0.30449
1891   -0.258518     -0.256842     -0.263715
1892   -0.299351     -0.362842     -0.302673
1893   -0.311851     -0.382008     -0.337573
1894   -0.314351     -0.320425     -0.298598
1895   -0.236018     -0.297175     -0.226782
1896   -0.127684     -0.0880083    -0.110723
1897   -0.0960178    -0.120758     -0.139523
1898   -0.239351     -0.311008     -0.25994
1899   -0.137684     -0.192508     -0.14304
1900   -0.0635178    -0.100675     -0.12109
1901   -0.129351     -0.178592     -0.177382
1902   -0.226851     -0.308842     -0.236232
1903   -0.287684     -0.386092     -0.354023
1904   -0.329351     -0.431175     -0.390457
1905   -0.224351     -0.288175     -0.270015
1906   -0.170184     -0.205925     -0.217298
1907   -0.371851     -0.382842     -0.38399
1908   -0.311851     -0.434592     -0.405265
1909   -0.329351     -0.440508     -0.416332
1910   -0.315184     -0.423008     -0.399015
1911   -0.321018     -0.457592     -0.427815
1912   -0.301018     -0.367342     -0.352932
1913   -0.282684     -0.365092     -0.329432
1914   -0.131018     -0.181425     -0.170965
1915   -0.0801845    -0.0902583    -0.0944068
1916   -0.286851     -0.311008     -0.296365
1917   -0.376851     -0.383008     -0.341032
1918   -0.315184     -0.264092     -0.23029
1919   -0.181851     -0.205675     -0.238307
1920   -0.176851     -0.189592     -0.217315
1921   -0.128518     -0.136258     -0.151915
1922   -0.240184     -0.258425     -0.233298
1923   -0.201018     -0.223008     -0.217332
1924   -0.206851     -0.237425     -0.195515
1925   -0.152684     -0.150092     -0.138023
1926   -0.00351781   -0.0374249    -0.0314735
1927   -0.131851     -0.130175     -0.112823
1928   -0.112684     -0.130925     -0.10594
1929   -0.244351     -0.252258     -0.233182
1930   -0.0668511    -0.0401749    -0.0424151
1931   -0.00768448    0.00174173   -0.00946514
1932   -0.0610178    -0.0308416    -0.0416735
1933   -0.169351     -0.172758     -0.17509
1934   -0.0526845    -0.0350083    -0.0428235
1935   -0.104351     -0.0589249    -0.0704068
1936   -0.0318511    -0.0275083    -0.0445735
1937    0.0848155     0.0904084     0.0593932
1938    0.118982      0.133242      0.0821265
1939    0.0323155     0.124825      0.0743682
1940    0.0573155     0.143825      0.103985
1941    0.113982      0.201742      0.164043
1942    0.0448155     0.0927417     0.116968
1943    0.106482      0.0956584     0.107018
1944    0.208982      0.245242      0.21316
1945    0.0789822     0.117075      0.0896015
1946   -0.0310178    -0.0794249    -0.0401735
1947    0.0214822    -0.0736749    -0.0564401
1948   -0.0260178    -0.0798416    -0.0655901
1949   -0.0526845    -0.0866749    -0.0896985
1950   -0.138518     -0.186092     -0.177098
1951   -0.0201845    -0.0448416    -0.0166985
1952    0.0481489     0.0477417     0.0216349
1953    0.123982      0.0954917     0.104793
1954   -0.0793511    -0.128092     -0.116907
1955   -0.0810178    -0.157842     -0.136207
1956   -0.154351     -0.223842     -0.19689
1957    0.0923155     0.0489917     0.0436682
1958    0.0998155     0.113158      0.0922265
1959    0.0748155     0.0511584     0.0498932
1960    0.0106489    -0.00050827   -0.00174847
1961    0.0914822     0.100575      0.0766432
1962    0.0548155     0.102242      0.100052
1963    0.0956489     0.125658      0.12001
1964   -0.190184     -0.171592     -0.139523
1965   -0.0943511    -0.0919249    -0.0821901
1966   -0.0143511    -0.0239249    -0.0243985
1967    0.0114822    -0.0253416    -0.0102735
1968   -0.0293511    -0.0348416    -0.0244568
1969    0.0931489     0.113242      0.0789932
1970    0.0448155     0.0564917     0.0352182
1971   -0.0885178    -0.0660916    -0.0671901
1972    0.0164822     0.0663251     0.0232099
1973    0.156482      0.200908      0.150102
1974   -0.0643511    -0.0905916    -0.0981401
1975   -0.0310178    -0.0459249    -0.0299235
1976   -0.144351     -0.130842     -0.118707
1977    0.141482      0.141575      0.130593
1978    0.0289822     0.0595751     0.0496099
1979    0.0998155     0.173325      0.142818
1980    0.203982      0.200408      0.181935
1981    0.272316      0.244492      0.217418
1982    0.0589822     0.134158      0.105952
1983    0.263982      0.300742      0.27071
1984    0.102316      0.103408      0.0766932
1985    0.0598155     0.0858251     0.0567932
1986    0.134816      0.153742      0.14961
1987    0.282316      0.303325      0.28586
1988    0.329816      0.304075      0.28956
1989    0.206482      0.226492      0.210943
1990    0.380649      0.378742      0.374643
1991    0.361482      0.336742      0.324743
1992    0.142316      0.185992      0.19101
1993    0.150649      0.229992      0.21886
1994    0.248982      0.295908      0.282218
1995    0.387316      0.399325      0.39651
1996    0.301482      0.261242      0.264235
1997    0.408982      0.476075      0.466635
1998    0.580649      0.671742      0.585152
1999    0.332316      0.421242      0.407768
2000    0.348149      0.394575      0.376635
2001    0.488149      0.532325      0.50556
2002    0.578982      0.588908      0.563118
2003    0.568982      0.599492      0.569943
2004    0.491482      0.570825      0.530893
2005    0.640649      0.606325      0.605035
2006    0.564816      0.549158      0.54911
2007    0.596482      0.525825      0.537743
2008    0.454816      0.449325      0.471043
2009    0.591482      0.567158      0.545843
2010    0.647316      0.599992      0.603977
