# The Global Carbon Budget 2024. Unit [GtC/year].
# Source: https://www.globalcarbonproject.org/carbonbudget/
# Written by importGlobalCarbonProject(2024). FOSSIL is the national file's world
# total, aggregated as in emission_history.js; the other columns are global file.
YEAR  FOSSIL        LANDUSE       OCEANSINK     LANDSINK
1959  2.416673      2.113452      1.008441      0.368378
1960  2.561957      1.830242      0.999830      1.096426
1961  2.569608      1.861498      0.879819      0.845491
1962  2.660286      1.727810      0.957408      1.319126
1963  2.802067      1.681572      1.132298      0.874709
1964  2.954276      1.599025      1.262687      1.586866
1965  3.086954      1.535235      1.362476      0.369739
1966  3.237622      1.425445      1.324365      1.451375
1967  3.339893      1.474033      1.160754      1.576619
1968  3.522184      1.455350      1.251043      2.364061
1969  3.755946      1.592787      1.365332      0.702456
1970  4.066355      1.554068      1.214322      0.659203
1971  4.231401      1.396860      1.292111      2.229627
1972  4.428110      1.471223      1.572100      1.187999
1973  4.662872      1.431245      1.461389      1.594803
1974  4.642673      1.402402      1.389078      3.721931
1975  4.654057      1.380823      1.307067      2.431920
1976  4.909612      1.387603      1.517156      2.983061
1977  5.048675      1.504850      1.625345      1.294731
1978  5.204423      1.477362      1.610335      2.508355
1979  5.351721      1.279135      1.577124      1.162219
1980  5.318833      1.355768      1.897113      0.373094
1981  5.191753      1.318215      1.816002      2.121543
1982  5.150326      1.240093      1.924991      1.510143
1983  5.183303      1.305937      2.120580      0.230186
1984  5.362306      1.539050      1.898469      2.681828
1985  5.543558      1.444040      1.812058      2.575364
1986  5.626274      1.508510      1.878648      2.363422
1987  5.799607      1.457370      1.981137      0.592846
1988  6.027480      1.411295      1.888126      1.992033
1989  6.109716      1.351895      1.863415      3.442724
1990  6.210499      1.358243      2.019162      2.387298
1991  6.339937      1.356437      2.176623      2.130866
1992  6.159228      1.435045      2.302732      2.442620
1993  6.222176      1.357495      2.256196      3.072318
1994  6.286876      1.607363      2.067647      1.531779
1995  6.420807      1.482642      2.073386      1.890663
1996  6.618871      1.640977      2.063902      3.423078
1997  6.658416      2.021443      2.208863      3.147830
1998  6.640787      1.676983      2.257103      1.447252
1999  6.778044      1.638350      2.052556      3.512755
2000  6.960330      1.445747      1.991930      3.812504
2001  7.008380      1.300557      1.886232      2.585034
2002  7.164780      1.399595      2.278785      1.335325
2003  7.545476      1.658210      2.395082      2.537046
2004  7.810367      1.474888      2.359741      3.631351
2005  8.077584      1.334875      2.391984      2.095371
2006  8.356608      1.455280      2.511930      3.091663
2007  8.596568      1.253980      2.444619      2.803796
2008  8.747215      1.331963      2.473545      3.475786
2009  8.596997      1.439405      2.612620      2.894865
2010  9.090237      1.497793      2.579939      3.308087
2011  9.374298      1.440575      2.616636      4.105290
2012  9.486023      1.542547      2.665730      2.485319
2013  9.567027      1.396330      2.711571      3.592448
2014  9.627042      1.472760      2.834165      3.744013
2015  9.626276      1.509713      2.880909      2.264435
2016  9.626537      1.202580      3.010809      2.939300
2017  9.780630      1.154755      2.830949      3.624165
2018  9.982549      1.049322      2.919762      3.499583
2019  10.064257     1.033500      2.930724      3.072052
2020  9.510744      0.938590      2.900426      3.038087
2021  10.047459     0.969645      2.800064      3.506610
2022  10.130804     0.966440      2.722721      3.870798
2023  10.265765     0.989330      2.880721      2.302042
