
RCP8.5__RADIATIVE FORCINGS____________________________
CONTENT:           ANNUAL AVERAGE, GLOBAL MEAN RADIATIVE FORCING.
RUN:               RCP85, FINAL RELEASE, 26 Nov. 2009
RCP8.5 CONTACT:    MESSAGE group, Keywan Riahi (riahi@iiasa.ac.at)
DATE:              26/11/2009 11:29:06 (updated description) 
MAGICC-VERSION:    6.3.09, 25 November 2009
FILE PRODUCED BY:  RCP Concentration Calculation & Data Group, M. Meinshausen, S. Smith, K. Riahi, D. van Vuuren et al.
DOCUMENTATION:     M. Meinshausen, S. Smith et al. (2011) "The RCP GHG concentrations and their extension from 1765 to 2300", DOI 10.1007/s10584-011-0156-z, Climatic Change.
CMIP5 INFO:        http://cmip-pcmdi.llnl.gov/cmip5/
RCP DATABASE:      http://www.iiasa.ac.at/web-apps/tnt/RcpDb
FURTHER INFO:      For data sources, aknowledgements and further information, see http://www.pik-potsdam.de/~mmalte/rcps.
NOTE:              THIS FORCING DATASET IS NOT CMIP5 RECOMMENDATION, AS CONCENTRATIONS, NOT FORCING, SHALL BE PRESCRIBED IN MAIN CMIP5 RUNS.
                   Radiative Forcing after strat. temp. adjustment.;
                   RCP8.5 starts 2005; 20th century data and earlier is provided for convenience.

COLUMN_DESCRIPTION________________________________________
1       TOTAL_INCLVOLCANIC_RF   Total anthropogenic and natural radiative forcing
2       VOLCANIC_ANNUAL_RF      Annual mean volcanic stratospheric aerosol forcing
3       SOLAR_RF                Solar irradience forcing
4       TOTAL_ANTHRO_RF         Total anthropogenic forcing
5       GHG_RF                  Total greenhouse gas forcing (CO2, CH4, N2O, HFCs, PFCs, SF6, and Montreal Protocol gases).
6       KYOTOGHG_RF             Total forcing from greenhouse gases controlled under the Kyoto Protocol (CO2, CH4, N2O, HFCs, PFCs, SF6).
7       CO2CH4N2O_RF            Total forcing from CO2, methan and nitrous oxide.
8       CO2_RF                  CO2 Forcing
9       CH4_RF                  Methane Forcing
10      N2O_RF                  Nitrous Oxide Forcing
11      FGASSUM_RF              Total forcing from all flourinated gases controlled under the Kyoto Protocol (HFCs, PFCs, SF6; i.e. columns 13-24)
12      MHALOSUM_RF             Total forcing from all gases controlled under the Montreal Protocol (columns 25-40)
13-24                           Flourinated gases controlled under the Kyoto Protocol
25-40                           Ozone Depleting Substances controlled under the Montreal Protocol
41      TOTAER_DIR_RF           Total direct aerosol forcing (aggregating columns 42 to 47)
42      OCI_RF                  Direct fossil fuel aerosol (organic carbon)
43      BCI_RF                  Direct fossil fuel aerosol (black carbon)
44      SOXI_RF                 Direct sulphate aerosol
45      NOXI_RF                 Direct nitrate aerosol
46      BIOMASSAER_RF           Direct biomass burning related aerosol
47      MINERALDUST_RF          Direct Forcing from mineral dust aerosol
48      CLOUD_TOT_RF            Cloud albedo effect
49      STRATOZ_RF              Stratospheric ozone forcing
50      TROPOZ_RF               Tropospheric ozone forcing
51      CH4OXSTRATH2O_RF        Stratospheric water-vapour from methane oxidisation
52      LANDUSE_RF              Landuse albedo
53      BCSNOW_RF               Black carbon on snow.



 &THISFILE_SPECIFICATIONS
 THISFILE_DATACOLUMNS    =          53,
 THISFILE_FIRSTYEAR      =        1765,
 THISFILE_LASTYEAR       =        2500,
 THISFILE_ANNUALSTEPS    =           1,
 THISFILE_FIRSTDATAROW   =          61,
 THISFILE_UNITS          =  SEE ROW 59,
 THISFILE_DATTYPE        =  RCPDAT
 /

   COLUMN:                   1                   2                   3                   4                   5                   6                   7                   8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22                  23                  24                  25                  26                  27                  28                  29                  30                  31                  32                  33                  34                  35                  36                  37                  38                  39                  40                  41                  42                  43                  44                  45                  46                  47                  48                  49                  50                  51                  52                  53                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
    UNITS:                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2                W/m2
     YEARS  TOTAL_INCLVOLCANIC_RF  VOLCANIC_ANNUAL_RF         SOLAR_RF     TOTAL_ANTHRO_RF              GHG_RF         KYOTOGHG_RF        CO2CH4N2O_RF              CO2_RF              CH4_RF              N2O_RF          FGASSUM_RF         MHALOSUM_RF                 CF4                C2F6               C6F14               HFC23               HFC32            HFC43_10              HFC125             HFC134a             HFC143a            HFC227ea            HFC245fa                 SF6              CFC_11              CFC_12             CFC_113             CFC_114             CFC_115            CARB_TET                 MCF             HCFC_22           HCFC_141B           HCFC_142B           HALON1211           HALON1202           HALON1301           HALON2402               CH3BR               CH3CL       TOTAER_DIR_RF              OCI_RF              BCI_RF             SOXI_RF             NOXI_RF       BIOMASSAER_RF      MINERALDUST_RF        CLOUD_TOT_RF          STRATOZ_RF           TROPOZ_RF    CH4OXSTRATH2O_RF          LANDUSE_RF           BCSNOW_RF
      1765      0.00000000E+00      0.00000000E+00     -0.28358750E-01      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00
      1766      0.12602655E+00      0.11622211E+00     -0.20693750E-01      0.16318812E-01      0.15363514E-01      0.15363514E-01      0.15363514E-01      0.11049082E-01      0.35757700E-02      0.73866120E-03      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.17767194E-04      0.00000000E+00      0.00000000E+00     -0.28673141E-04     -0.12927992E-04      0.25010344E-03     -0.19073512E-03     -0.80145063E-03      0.00000000E+00      0.14060381E-02      0.60670657E-03     -0.38147024E-03      0.10770762E-03
      1767      0.27303147E+00      0.23244422E+00      0.70393750E-02      0.33547871E-01      0.32123150E-01      0.32123150E-01      0.32123150E-01      0.23246047E-01      0.73607380E-02      0.15163651E-02      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00     -0.64676814E-05      0.00000000E+00      0.00000000E+00     -0.79765703E-04     -0.31908169E-04      0.67293932E-03     -0.56773313E-03     -0.23811199E-02      0.00000000E+00      0.33782715E-02      0.12489141E-02     -0.11354663E-02      0.32058953E-03
      1768      0.27887064E+00      0.19744422E+00      0.46256875E-01      0.35169550E-01      0.34972150E-01      0.34972150E-01      0.34972150E-01      0.25605215E-01      0.77731272E-02      0.15938079E-02      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00     -0.12035558E-03      0.00000000E+00      0.00000000E+00     -0.12042129E-03     -0.41646503E-04      0.97755344E-03     -0.93584123E-03     -0.39149359E-02      0.00000000E+00      0.42570417E-02      0.13188972E-02     -0.18716825E-02      0.52843503E-03
      1769      0.24204524E+00      0.13181922E+00      0.73605000E-01      0.36621026E-01      0.37899463E-01      0.37899463E-01      0.37899463E-01      0.28057033E-01      0.81723731E-02      0.16700562E-02      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00     -0.28156958E-03      0.00000000E+00      0.00000000E+00     -0.15396175E-03     -0.47930237E-04      0.12154908E-02     -0.12951684E-02     -0.54040980E-02      0.00000000E+00      0.48796120E-02      0.13866510E-02     -0.25903369E-02      0.73130458E-03
      1770      0.24282439E+00      0.12744422E+00      0.77258125E-01      0.38122043E-01      0.40855884E-01      0.40855884E-01      0.40855884E-01      0.30552870E-01      0.85577857E-02      0.17452284E-02      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00     -0.47095412E-03      0.00000000E+00      0.00000000E+00     -0.18243929E-03     -0.52537901E-04      0.14098468E-02     -0.16458238E-02     -0.68497637E-02      0.00000000E+00      0.54972068E-02      0.14520585E-02     -0.32916475E-02      0.92925863E-03
      1771      0.28414227E+00      0.17994422E+00      0.64894375E-01      0.39303678E-01      0.43845012E-01      0.43845012E-01      0.43845012E-01      0.33093627E-01      0.89320720E-02      0.18193127E-02      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00     -0.88830284E-03     -0.16857657E-04      0.60665212E-04     -0.24259762E-03     -0.56985635E-04      0.13553891E-02     -0.19879163E-02     -0.84466666E-02      0.00000000E+00      0.61109069E-02      0.15155788E-02     -0.39758326E-02      0.11429830E-02
      1772      0.29985709E+00      0.21494422E+00      0.44336250E-01      0.40576622E-01      0.46896662E-01      0.46896662E-01      0.46896662E-01      0.35705793E-01      0.92985859E-02      0.18922835E-02      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00      0.00000000E+00     -0.13273201E-02     -0.33715314E-04      0.12133042E-03     -0.29815572E-03     -0.60788472E-04      0.12655640E-02     -0.23215550E-02     -0.10001348E-01      0.00000000E+00      0.67220440E-02      0.15777810E-02     -0.46431100E-02      0.13519128E-02
